yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2022,2021-22,1610612742,203501,Shot Chart Detail,Tim Hardaway Jr.,Dallas Mavericks,Made Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,7,1,11,Above the Break 3,Left Side Center,LC,24+ ft.,-76,232,42,24,TRUE,TRUE
2022,2021-22,1610612742,203939,Shot Chart Detail,Dwight Powell,Dallas Mavericks,Missed Shot,Driving Dunk Shot,2PT Field Goal,20211021,ATL,DAL,22100014,11,1,11,Restricted Area,Center,C,Less Than 8 ft.,7,-4,0,0,TRUE,FALSE
2022,2021-22,1610612742,1627827,Shot Chart Detail,Dorian Finney-Smith,Dallas Mavericks,Missed Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,13,1,10,Above the Break 3,Right Side Center,RC,24+ ft.,208,142,56,25,TRUE,FALSE
2022,2021-22,1610612742,204001,Shot Chart Detail,Kristaps Porzingis,Dallas Mavericks,Made Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,17,1,10,Above the Break 3,Left Side Center,LC,24+ ft.,-86,241,35,25,TRUE,TRUE
2022,2021-22,1610612742,1629029,Shot Chart Detail,Luka Doncic,Dallas Mavericks,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,20211021,ATL,DAL,22100014,21,1,10,Mid-Range,Left Side Center,LC,16-24 ft.,-71,164,10,17,TRUE,TRUE
2022,2021-22,1610612742,203501,Shot Chart Detail,Tim Hardaway Jr.,Dallas Mavericks,Missed Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,26,1,9,Left Corner 3,Left Side,L,24+ ft.,-232,17,36,23,TRUE,FALSE
2022,2021-22,1610612742,203501,Shot Chart Detail,Tim Hardaway Jr.,Dallas Mavericks,Made Shot,Running Layup Shot,2PT Field Goal,20211021,ATL,DAL,22100014,35,1,8,Restricted Area,Center,C,Less Than 8 ft.,0,11,59,1,TRUE,TRUE
2022,2021-22,1610612742,204001,Shot Chart Detail,Kristaps Porzingis,Dallas Mavericks,Missed Shot,Pullup Jump shot,2PT Field Goal,20211021,ATL,DAL,22100014,38,1,8,In The Paint (Non-RA),Center,C,8-16 ft.,2,113,29,11,TRUE,FALSE
2022,2021-22,1610612742,204001,Shot Chart Detail,Kristaps Porzingis,Dallas Mavericks,Missed Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,44,1,8,Above the Break 3,Center,C,24+ ft.,39,262,2,26,TRUE,FALSE
2022,2021-22,1610612742,203501,Shot Chart Detail,Tim Hardaway Jr.,Dallas Mavericks,Missed Shot,Step Back Jump shot,2PT Field Goal,20211021,ATL,DAL,22100014,49,1,7,Mid-Range,Right Side,R,8-16 ft.,146,1,29,14,TRUE,FALSE
2022,2021-22,1610612742,1629029,Shot Chart Detail,Luka Doncic,Dallas Mavericks,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20211021,ATL,DAL,22100014,55,1,7,In The Paint (Non-RA),Center,C,8-16 ft.,29,95,8,9,TRUE,FALSE
2022,2021-22,1610612742,1629029,Shot Chart Detail,Luka Doncic,Dallas Mavericks,Missed Shot,Pullup Jump shot,3PT Field Goal,20211021,ATL,DAL,22100014,57,1,6,Above the Break 3,Right Side Center,RC,24+ ft.,94,250,54,26,TRUE,FALSE
2022,2021-22,1610612742,1627827,Shot Chart Detail,Dorian Finney-Smith,Dallas Mavericks,Missed Shot,Running Layup Shot,2PT Field Goal,20211021,ATL,DAL,22100014,61,1,6,Restricted Area,Center,C,Less Than 8 ft.,0,4,33,0,TRUE,FALSE
2022,2021-22,1610612742,203939,Shot Chart Detail,Dwight Powell,Dallas Mavericks,Missed Shot,Alley Oop Layup shot,2PT Field Goal,20211021,ATL,DAL,22100014,65,1,6,Restricted Area,Center,C,Less Than 8 ft.,16,15,9,2,TRUE,FALSE
2022,2021-22,1610612742,203501,Shot Chart Detail,Tim Hardaway Jr.,Dallas Mavericks,Missed Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,89,1,5,Above the Break 3,Left Side Center,LC,24+ ft.,-157,199,21,25,TRUE,FALSE
2022,2021-22,1610612742,1628973,Shot Chart Detail,Jalen Brunson,Dallas Mavericks,Missed Shot,Step Back Jump shot,2PT Field Goal,20211021,ATL,DAL,22100014,93,1,4,Mid-Range,Center,C,16-24 ft.,42,169,58,17,TRUE,FALSE
2022,2021-22,1610612742,1629029,Shot Chart Detail,Luka Doncic,Dallas Mavericks,Made Shot,Step Back Jump shot,3PT Field Goal,20211021,ATL,DAL,22100014,99,1,4,Above the Break 3,Left Side Center,LC,24+ ft.,-154,200,33,25,TRUE,TRUE
2022,2021-22,1610612742,1628973,Shot Chart Detail,Jalen Brunson,Dallas Mavericks,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20211021,ATL,DAL,22100014,107,1,3,In The Paint (Non-RA),Center,C,8-16 ft.,-36,78,43,8,TRUE,FALSE
2022,2021-22,1610612742,1626161,Shot Chart Detail,Willie Cauley-Stein,Dallas Mavericks,Missed Shot,Tip Layup Shot,2PT Field Goal,20211021,ATL,DAL,22100014,170,1,3,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1,41,37,4,TRUE,FALSE
2022,2021-22,1610612742,1626161,Shot Chart Detail,Willie Cauley-Stein,Dallas Mavericks,Made Shot,Layup Shot,2PT Field Goal,20211021,ATL,DAL,22100014,111,1,3,Restricted Area,Center,C,Less Than 8 ft.,5,8,26,0,TRUE,TRUE
2022,2021-22,1610612742,1628973,Shot Chart Detail,Jalen Brunson,Dallas Mavericks,Missed Shot,Pullup Jump shot,2PT Field Goal,20211021,ATL,DAL,22100014,135,1,2,Mid-Range,Right Side,R,16-24 ft.,168,47,10,17,TRUE,FALSE
2022,2021-22,1610612742,203493,Shot Chart Detail,Reggie Bullock,Dallas Mavericks,Made Shot,Running Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,139,1,1,Above the Break 3,Right Side Center,RC,24+ ft.,174,182,48,25,TRUE,TRUE
2022,2021-22,1610612742,1628425,Shot Chart Detail,Sterling Brown,Dallas Mavericks,Missed Shot,Jump Shot,3PT Field Goal,20211021,ATL,DAL,22100014,143,1,1,Above the Break 3,Left Side Center,LC,24+ ft.,-83,240,20,25,TRUE,FALSE
2022,2021-22,1610612742,1626161,Shot Chart Detail,Willie Cauley-Stein,Dallas Mavericks,Missed Shot,Jump Shot,2PT Field Goal,20211021,ATL,DAL,22100014,147,1,0,Mid-Range,Left Side Center,LC,16-24 ft.,-97,173,55,19,TRUE,FALSE
